championship_year,event_date,event_date_iso,event_id,event_name,event_label,external_event_name,source_url,source_api_url,tracker_year,athlete,first_name,last_name,bib,bib_display,country_iso2,country_iso3,country,gender,age_group,finisher,dnf,dns,dq,finish_time,finish_seconds,swim_time,swim_seconds,t1_time,t1_seconds,bike_time,bike_seconds,t2_time,t2_seconds,run_time,run_seconds,finish_rank_overall,finish_rank_gender,finish_rank_group,swim_rank_overall,swim_rank_gender,swim_rank_group,bike_rank_overall,bike_rank_gender,bike_rank_group,run_rank_overall,run_rank_gender,run_rank_group,total_distance_completed_km,swim_distance_completed_km,bike_distance_completed_km,run_distance_completed_km,result_id,created_on,modified_on
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Daniela Ryf,Daniela,Ryf,3001,,CH,CHE,Switzerland,Female,FPRO,True,False,False,False,8:26:18,30378,0:57:27,3447,,202,4:26:07,15967,,137,2:57:05,10625,25,1,1,243,23,12,42,1,1,25,1,1,226.27,3.86,180.25,42.16,4d0cc057-5935-45f2-bc6a-2c9da82d9280,2018-10-14T14:47:31Z,2025-04-16T13:48:40Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Lucy Charles-Barclay,Lucy,Charles-Barclay,3002,,GB,GBR,United Kingdom,Female,FPRO,True,False,False,False,8:36:34,30994,0:48:14,2894,,130,4:38:10,16690,,130,3:05:50,11150,35,2,2,10,1,1,47,2,2,35,2,2,226.27,3.86,180.25,42.16,67e766a2-57c0-4d37-a069-de640190c303,2018-10-14T14:41:13Z,2025-04-16T13:47:58Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Anne Haug,Anne,Haug,3035,,DE,DEU,Germany,Female,FPRO,True,False,False,False,8:41:58,31318,0:54:21,3261,,123,4:47:45,17265,,149,2:55:20,10520,48,3,3,130,12,10,223,7,7,48,3,3,226.27,3.86,180.25,42.16,c1eb434c-c575-4667-a08a-e86457e546a4,2018-10-14T14:46:23Z,2025-04-16T13:39:16Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Sarah True,Sarah,True,3009,,US,USA,United States,Female,FPRO,True,False,False,False,8:43:43,31423,0:52:06,3126,,143,4:49:19,17359,,137,2:57:38,10658,50,4,4,64,4,4,220,6,6,50,4,4,226.27,3.86,180.25,42.16,0fce1b0b-04c0-4250-8181-9f7f4f03fa5d,2018-10-14T14:46:00Z,2025-04-16T13:48:48Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Mirinda Carfrae,Mirinda,Carfrae,3011,,AU,AUS,Australia,Female,FPRO,True,False,False,False,8:50:45,31845,0:58:18,3498,,119,4:46:05,17165,,162,3:01:41,10901,63,5,5,283,26,13,263,13,13,63,5,5,226.27,3.86,180.25,42.16,44cabbf3-bfd6-44e5-b367-e8a5e9e94e8f,2018-10-14T14:45:52Z,2025-04-16T13:41:46Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Sarah Crowley,Sarah,Crowley,3003,,AU,AUS,Australia,Female,FPRO,True,False,False,False,8:52:30,31950,0:54:19,3259,,132,4:43:09,16989,,141,3:10:29,11429,75,6,6,129,11,9,154,4,4,75,6,6,226.27,3.86,180.25,42.16,685aab42-6c1d-430e-b4e2-64b49b6dcffc,2018-10-14T14:45:16Z,2025-04-16T13:50:08Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Kaisa Sali,Kaisa,Sali,3004,,FI,FIN,Finland,Female,FPRO,True,False,False,False,8:54:28,32068,0:58:23,3503,,151,4:44:31,17071,,179,3:06:04,11164,84,7,7,290,30,16,241,11,11,84,7,7,226.27,3.86,180.25,42.16,67789b88-0dbd-49bb-931f-44b68457ad57,2018-10-14T14:47:41Z,2025-04-16T13:49:07Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Angela Naeth,Angela,Naeth,3042,,CA,CAN,Canada,Female,FPRO,True,False,False,False,8:57:36,32256,0:58:28,3508,,172,4:42:25,16945,,160,3:11:11,11471,99,8,8,296,33,19,219,5,5,99,8,8,226.27,3.86,180.25,42.16,8dd18db2-ba00-4e41-baa0-f4efe91b5650,2018-10-14T14:47:20Z,2025-07-17T09:25:08Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Corinne Abraham,Corinne,Abraham,3025,,GB,GBR,United Kingdom,Female,FPRO,True,False,False,False,8:57:55,32275,0:58:44,3524,,144,4:38:16,16696,,125,3:16:26,11786,101,9,9,316,44,25,147,3,3,101,9,9,226.27,3.86,180.25,42.16,f6acef70-c417-413b-8b88-5ad4e0065016,2018-10-14T14:46:06Z,2025-04-16T13:39:42Z
2018,10/13/2018,2018-10-13T00:00:00Z,19c48b66-758e-e711-9419-005056951bf1,2018 IRONMAN World Championship,2018 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=19c48b66-758e-e711-9419-005056951bf1,2018,Linsey Corbin,Linsey,Corbin,3018,,US,USA,United States,Female,FPRO,True,False,False,False,8:58:58,32338,0:58:24,3504,,134,4:48:29,17309,,156,3:07:15,11235,107,10,10,292,31,17,312,17,17,107,10,10,226.27,3.86,180.25,42.16,8b9fe91e-ba43-47ac-9a0b-dd4b09ff2a49,2018-10-14T14:45:27Z,2025-04-16T13:43:51Z
