championship_year,event_date,event_date_iso,event_id,event_name,event_label,external_event_name,source_url,source_api_url,tracker_year,athlete,first_name,last_name,bib,bib_display,country_iso2,country_iso3,country,gender,age_group,finisher,dnf,dns,dq,finish_time,finish_seconds,swim_time,swim_seconds,t1_time,t1_seconds,bike_time,bike_seconds,t2_time,t2_seconds,run_time,run_seconds,finish_rank_overall,finish_rank_gender,finish_rank_group,swim_rank_overall,swim_rank_gender,swim_rank_group,bike_rank_overall,bike_rank_gender,bike_rank_group,run_rank_overall,run_rank_gender,run_rank_group,total_distance_completed_km,swim_distance_completed_km,bike_distance_completed_km,run_distance_completed_km,result_id,created_on,modified_on
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Daniela Ryf,Daniela,Ryf,101,,CH,CHE,Switzerland,Female,FPRO,True,False,False,False,8:46:46,31606,0:52:50,3170,,136,4:52:26,17546,,143,2:56:51,10611,31,1,1,79,7,7,48,1,1,31,1,1,226,3.8,180,42.2,7cd21809-34d2-40f9-89d1-f8536a82e01a,2016-10-09T19:02:18Z,2025-04-20T14:47:54Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Mirinda Carfrae,Mirinda,Carfrae,111,,AU,AUS,Australia,Female,FPRO,True,False,False,False,9:10:30,33030,0:56:44,3404,,127,5:10:54,18654,,145,2:58:20,10700,60,2,2,251,24,16,310,13,13,60,2,2,226,3.8,180,42.2,8ecf954d-1abd-4a48-9360-e0dbedf3b72e,2016-10-09T19:02:43Z,2025-04-20T14:47:13Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Heather Jackson,Heather,Jackson,104,,US,USA,United States,Female,FPRO,True,False,False,False,9:11:32,33092,0:58:56,3536,,126,5:00:31,18031,,131,3:07:48,11268,65,3,3,413,56,23,146,3,3,65,3,3,226,3.8,180,42.2,815a80aa-fcd1-417e-a66e-fe8ad5413aab,2016-10-09T19:02:26Z,2025-04-20T14:47:06Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Anja Beranek,Anja,Beranek,115,,DE,DEU,Germany,Female,FPRO,True,False,False,False,9:14:26,33266,0:52:51,3171,,121,5:00:42,18042,,137,3:16:35,11795,73,4,4,82,9,9,78,2,2,73,4,4,226,3.8,180,42.2,784de064-9596-46b0-9e48-1c32c15130ee,2016-10-09T19:02:56Z,2025-04-20T14:47:52Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Kaisa Sali,Kaisa,Sali,109,,FI,FIN,Finland,Female,FPRO,True,False,False,False,9:15:40,33340,0:58:55,3535,,112,5:08:54,18534,,163,3:03:16,10996,76,5,5,412,55,22,307,12,12,76,5,5,226,3.8,180,42.2,910b678b-0937-4652-a0e0-83debf135595,2016-10-09T19:02:38Z,2025-04-20T14:47:34Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Michelle Vesterby,Michelle,Vesterby,116,,DK,DNK,Denmark,Female,FPRO,True,False,False,False,9:19:05,33545,0:52:53,3173,,129,5:09:05,18545,,151,3:12:27,11547,91,6,6,84,11,11,184,7,7,91,6,6,226,3.8,180,42.2,dc57b268-1b00-462d-8988-b5ab975f0b19,2016-10-09T19:02:58Z,2025-04-20T14:47:11Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Sarah Piampiano,Sarah,Piampiano,103,,US,USA,United States,Female,FPRO,True,False,False,False,9:22:31,33751,1:02:42,3762,,144,5:07:29,18449,,172,3:07:04,11224,107,7,7,740,112,35,357,19,19,107,7,7,226,3.8,180,42.2,96fa284d-9662-4cbb-ab03-3598de0740ae,2016-10-09T19:02:23Z,2025-04-20T14:47:02Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Åsa Lundström,Åsa,Lundström,118,,SE,SWE,Sweden,Female,FPRO,True,False,False,False,9:22:59,33779,1:02:04,3724,,138,5:09:46,18586,,129,3:06:42,11202,111,8,8,676,105,34,398,21,21,111,8,8,226,3.8,180,42.2,05b21084-3ddb-41ab-a008-c739bc6ca0e2,2016-10-09T19:03:02Z,2025-04-20T14:47:57Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Lucy Gossage,Lucy,Gossage,105,,GB,GBR,United Kingdom,Female,FPRO,True,False,False,False,9:25:57,33957,1:01:57,3717,,161,5:06:01,18361,,183,3:12:15,11535,129,9,9,658,98,31,340,18,18,129,9,9,226,3.8,180,42.2,ce942ec5-13a8-47f8-a865-e31964216488,2016-10-09T19:02:29Z,2025-04-20T14:47:14Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Carrie Lester,Carrie,Lester,138,,AU,AUS,Australia,Female,FPRO,True,False,False,False,9:28:17,34097,0:56:40,3400,,146,5:10:50,18650,,146,3:15:55,11755,152,10,10,247,22,14,319,15,15,152,10,10,226,3.8,180,42.2,db6c097e-9c53-4408-859d-913532dbd585,2016-10-09T19:03:45Z,2025-04-20T14:46:23Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Camilla Pedersen,Camilla,Pedersen,110,,DK,DNK,Denmark,Female,FPRO,True,False,False,False,9:31:15,34275,0:52:50,3170,,121,5:13:05,18785,,157,3:20:42,12042,170,11,11,80,8,8,274,10,10,170,11,11,226,3.8,180,42.2,97ec355f-4ad5-4192-8e5e-2fe1c47e0be0,2016-10-09T19:02:40Z,2025-04-20T14:46:22Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Heather Wurtele,Heather,Wurtele,125,,CA,CAN,Canada,Female,FPRO,True,False,False,False,9:32:51,34371,0:56:43,3403,,117,5:11:23,18683,,182,3:19:46,11986,188,12,12,250,23,15,324,17,17,188,12,12,226,3.8,180,42.2,147a5298-9a2a-4ff4-adab-9939c2db2668,2016-10-09T19:03:20Z,2025-04-20T14:46:45Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Linsey Corbin,Linsey,Corbin,127,,US,USA,United States,Female,FPRO,True,False,False,False,9:33:51,34431,1:01:52,3712,,155,5:11:50,18710,,183,3:14:31,11671,201,13,13,646,95,29,442,24,24,201,13,13,226,3.8,180,42.2,f7ca5f92-9359-4b33-aaf1-1576a541c739,2016-10-09T19:03:24Z,2025-04-20T14:47:38Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Mary Beth Ellis,Mary Beth,Ellis,113,,US,USA,United States,Female,FPRO,True,False,False,False,9:38:52,34732,0:52:49,3169,,140,5:07:30,18450,,151,3:33:42,12822,241,14,14,76,5,5,165,5,5,241,14,14,226,3.8,180,42.2,2b1224ff-303b-4206-8e58-32c1a808db97,2016-10-09T19:02:49Z,2025-04-20T14:48:13Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Svenja Thoes,Svenja,Thoes,2315,,DE,DEU,Germany,Female,F25-29,True,False,False,False,9:40:48,34848,1:01:29,3689,,175,5:20:05,19205,,157,3:13:42,11622,256,15,1,594,73,13,571,30,1,256,15,1,226,3.8,180,42.2,ca042260-4ecf-4df2-898a-7dcfe3043da6,2016-10-09T19:07:32Z,2025-04-20T14:47:13Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Sarah Crowley,Sarah,Crowley,122,,AU,AUS,Australia,Female,FPRO,True,False,False,False,9:42:34,34954,0:58:58,3538,,127,5:13:54,18834,,159,3:24:56,12296,273,16,15,416,57,24,414,22,22,273,16,15,226,3.8,180,42.2,e3e7a423-f672-4b88-9692-39c0f78af443,2016-10-09T19:03:13Z,2025-04-20T14:46:48Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Lisa Roberts,Lisa,Roberts,114,,US,USA,United States,Female,FPRO,True,False,False,False,9:43:11,34991,1:05:04,3904,,166,5:25:50,19550,,176,3:06:35,11195,279,17,16,955,170,38,759,44,38,279,17,16,226,3.8,180,42.2,1dcbd800-3d6f-4899-8e57-7507bb7bb144,2016-10-09T19:02:53Z,2025-04-20T14:48:06Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Dimity-Lee Duke,Dimity-Lee,Duke,136,,AU,AUS,Australia,Female,FPRO,True,False,False,False,9:44:03,35043,1:01:49,3709,,155,5:15:21,18921,,173,3:21:25,12085,289,18,17,640,94,28,499,27,27,289,18,17,226,3.8,180,42.2,f3ed79f7-27f2-4220-82d8-adfcc802616f,2016-10-09T19:03:41Z,2025-08-27T10:41:06Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Michaela Herlbauer,Michaela,Herlbauer,143,,AT,AUT,Austria,Female,FPRO,True,False,False,False,9:44:36,35076,0:58:22,3502,,144,5:22:22,19342,,180,3:18:28,11908,296,19,18,376,39,19,549,29,28,296,19,18,226,3.8,180,42.2,aef82304-6448-458f-aca4-c28f32480242,2016-10-09T19:03:55Z,2025-04-20T14:47:31Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Alexandra Tondeur,Alexandra,Tondeur,137,,BE,BEL,Belgium,Female,FPRO,True,False,False,False,9:46:49,35209,1:01:52,3712,,145,5:22:24,19344,,192,3:16:56,11816,315,20,19,647,96,30,610,33,31,315,20,19,226,3.8,180,42.2,a569458b-701b-4309-971a-fc8675165137,2016-10-09T19:03:43Z,2025-04-20T14:46:41Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Jodie Robertson,Jodie,Robertson,139,,US,USA,United States,Female,FPRO,True,False,False,False,9:48:20,35300,1:05:09,3909,,183,5:23:45,19425,,184,3:13:19,11599,332,21,20,967,172,39,729,41,36,332,21,20,226,3.8,180,42.2,1a623249-719c-4665-a303-e3ecc164442e,2016-10-09T19:03:47Z,2025-04-20T14:47:03Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Tine Holst,Tine,Holst,131,,DK,DNK,Denmark,Female,FPRO,True,False,False,False,9:48:43,35323,1:05:12,3912,,134,5:22:12,19332,,170,3:16:15,11775,334,22,21,971,173,40,691,37,32,334,22,21,226,3.8,180,42.2,e0b47113-044e-4348-ab8a-d9f7b861f473,2016-10-09T19:03:32Z,2025-04-20T14:46:40Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Jodie Cunnama,Jodie,Cunnama,108,,GB,GBR,United Kingdom,Female,FPRO,True,False,False,False,9:49:22,35362,0:52:47,3167,,137,5:09:05,18545,,137,3:42:56,13376,339,23,22,73,2,2,186,8,8,339,23,22,226,3.8,180,42.2,10872c36-65a5-4366-aa1f-6f1c084dcaae,2016-10-09T19:02:35Z,2025-04-20T14:47:36Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Alicia Kaye,Alicia,Kaye,124,,US,USA,United States,Female,FPRO,True,False,False,False,9:51:25,35485,0:52:49,3169,,140,5:12:54,18774,,172,3:40:30,13230,358,24,23,77,6,6,277,11,11,358,24,23,226,3.8,180,42.2,92141094-02c1-4c65-beab-c479a4687e49,2016-10-09T19:03:18Z,2025-04-20T14:48:00Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Martina Kunz,Martina,Kunz,2108,,CH,CHE,Switzerland,Female,F30-34,True,False,False,False,9:52:08,35528,1:02:42,3762,,178,5:16:15,18975,,179,3:27:14,12434,362,25,1,736,111,22,531,28,1,362,25,1,226,3.8,180,42.2,4739a67a-1611-4a04-b3cb-57c106663aea,2016-10-09T19:06:40Z,2025-04-20T14:46:22Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Laurel Wassner,Laurel,Wassner,142,,US,USA,United States,Female,FPRO,True,False,False,False,9:52:08,35528,0:52:52,3172,,150,5:29:15,19755,,194,3:24:17,12257,364,26,24,83,10,10,575,31,29,364,26,24,226,3.8,180,42.2,71dd8e38-8726-4ef1-a24b-878ef86161f3,2016-10-09T19:03:53Z,2025-04-20T14:46:41Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Elizabeth Lyles,Elizabeth,Lyles,119,,US,USA,United States,Female,FPRO,True,False,False,False,9:56:31,35791,0:59:05,3545,,125,5:17:46,19066,,163,3:34:52,12892,419,27,25,424,60,27,483,26,26,419,27,25,226,3.8,180,42.2,a17754bc-1a0d-42b9-bd8e-51bed98ff33a,2016-10-09T19:03:05Z,2025-04-20T14:47:15Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Kristin Moeller,Kristin,Moeller,132,,DE,DEU,Germany,Female,FPRO,True,False,False,False,9:58:25,35905,1:05:13,3913,,128,5:49:30,20970,,169,2:58:45,10725,435,28,26,975,174,41,1156,120,41,435,28,26,226,3.8,180,42.2,8d8d1a7f-d52a-4bda-826d-f959dff7168c,2016-10-09T19:03:34Z,2025-04-20T14:47:57Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Lucia Erat,Lucia,Erat,2081,,CH,CHE,Switzerland,Female,F30-34,True,False,False,False,9:58:46,35926,1:10:53,4253,,294,5:33:28,20008,,353,3:03:38,11018,436,29,2,1429,325,60,1042,91,17,436,29,2,226,3.8,180,42.2,68dd7e39-e031-4e95-99ba-1ae90717d9b0,2016-10-09T19:06:34Z,2025-04-20T14:47:36Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Stefanie Kuhnert,Stefanie,Kuhnert,2295,,DE,DEU,Germany,Female,F25-29,True,False,False,False,9:59:44,35984,0:55:39,3339,,143,5:29:31,19771,,150,3:29:41,12581,449,30,2,199,18,2,644,34,2,449,30,2,226,3.8,180,42.2,eecac928-86d7-4eb1-a297-14f1cebed233,2016-10-09T19:07:27Z,2025-04-20T14:47:09Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Katrine Amtkjaer,Katrine,Amtkjaer,1804,,DK,DNK,Denmark,Female,F35-39,True,False,False,False,10:00:26,36026,1:07:37,4057,,166,5:25:07,19507,,214,3:21:22,12082,458,31,1,1206,248,36,799,48,1,458,31,1,226,3.8,180,42.2,d029d69d-69cf-4770-8cda-4a981590f4c2,2016-10-09T19:05:21Z,2025-04-20T14:47:39Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Verena Walter,Verena,Walter,133,,DE,DEU,Germany,Female,FPRO,True,False,False,False,10:01:01,36061,1:01:57,3717,,159,5:20:15,19215,,181,3:33:09,12789,465,32,27,659,99,32,580,32,30,465,32,27,226,3.8,180,42.2,caaa8749-9c42-4cbb-b7fe-37cedecd17e2,2016-10-09T19:03:36Z,2025-04-20T14:46:53Z
2016,10/8/2016,2016-10-08T00:00:00Z,9cb970f1-a951-e511-9409-005056951bf1,2016 IRONMAN World Championship,2016 IRONMAN World Championship,,https://labs-v2.competitor.com/results/event/e798aa20-f278-e111-b16a-005056956277_Kona,https://labs-v2.competitor.com/api/results?wtc_eventid=9cb970f1-a951-e511-9409-005056951bf1,2016,Bianca Steurer,Bianca,Steurer,140,,AT,AUT,Austria,Female,FPRO,True,False,False,False,10:03:22,36202,1:01:59,3719,,159,5:29:11,19751,,252,3:25:21,12321,483,33,28,663,101,33,763,46,39,483,33,28,226,3.8,180,42.2,0da9eeb4-4f0b-4b68-bd9a-b0f9ab1ed15a,2016-10-09T19:03:49Z,2025-04-20T14:47:50Z
