air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
21.1,27,Germany,Nina,Nina Eim,79066,Eim,GER,1998,00:58:16,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",12,2024-07-31,655048,Elite Women,08:00:00,1165815,00:33:57,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,36,00:23:38,1500,2,00:00:53,00:00:29,01:57:13,22.2,,forbidden
21.1,27,Poland,Roksana,Roksana Slupek,106358,Slupek,POL,1999,00:58:18,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",13,2024-07-31,655048,Elite Women,08:00:00,1165816,00:33:59,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,28,00:23:33,1500,2,00:00:57,00:00:29,01:57:16,22.2,,forbidden
21.1,35,Netherlands,Rachel,Rachel Klamer,22170,Klamer,NED,1990,00:58:15,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",14,2024-07-31,655048,Elite Women,08:00:00,1165817,00:34:25,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,50,00:23:30,1500,2,00:01:00,00:00:29,01:57:39,22.2,,forbidden
21.1,27,Great Britain,Kate,Kate Waugh,86051,Waugh,GBR,1999,00:57:39,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",15,2024-07-31,655048,Elite Women,08:00:00,1165818,00:34:33,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,27,00:24:17,1500,2,00:00:51,00:00:28,01:57:48,22.2,,forbidden
21.1,38,Italy,Alice,Alice Betto,39683,Betto,ITA,1987,00:58:11,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",16,2024-07-31,655048,Elite Women,08:00:00,1165819,00:34:40,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,54,00:23:41,1500,2,00:00:56,00:00:28,01:57:56,22.2,,forbidden
21.1,33,Spain,Anna,Anna Godoy Contreras,31827,Godoy Contreras,ESP,1992,00:58:17,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",17,2024-07-31,655048,Elite Women,08:00:00,1165820,00:34:57,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,43,00:23:33,1500,2,00:00:57,00:00:29,01:58:13,22.2,,forbidden
21.1,28,Mexico,Rosa Maria,Rosa Maria Tapia Vidal,80813,Tapia Vidal,MEX,1997,00:57:44,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",18,2024-07-31,655048,Elite Women,08:00:00,1165821,00:35:13,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,17,00:24:12,1500,2,00:00:53,00:00:27,01:58:29,22.2,,forbidden
21.1,28,United States,Taylor,Taylor Knibb,80643,Knibb,USA,1998,00:57:45,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",19,2024-07-31,655048,Elite Women,08:00:00,1165822,00:35:17,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,10,00:24:08,1500,2,00:00:56,00:00:31,01:58:37,22.2,,forbidden
21.1,33,Brazil,Djenyfer,Djenyfer Arnold,125061,Arnold,BRA,1993,00:57:49,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",20,2024-07-31,655048,Elite Women,08:00:00,1165823,00:35:31,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,23,00:24:03,1500,2,00:00:56,00:00:26,01:58:45,22.2,,forbidden
21.1,31,Australia,Sophie,Sophie Linn,123455,Linn,AUS,1995,00:57:59,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",21,2024-07-31,655048,Elite Women,08:00:00,1165824,00:35:35,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,14,00:23:56,1500,2,00:00:54,00:00:28,01:58:52,22.2,,forbidden
21.1,26,Italy,Bianca,Bianca Seregni,106581,Seregni,ITA,2000,00:59:37,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",22,2024-07-31,655048,Elite Women,08:00:00,1165825,00:35:50,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,55,00:22:14,1500,2,00:00:59,00:00:31,01:59:11,22.2,,forbidden
21.1,21,Sweden,Tilda,Tilda Månsson,135877,Månsson,SWE,2004,00:57:48,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",23,2024-07-31,655048,Elite Women,08:00:00,1165826,00:35:59,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,47,00:24:03,1500,2,00:00:59,00:00:33,01:59:22,22.2,,forbidden
21.1,32,Belgium,Jolien,Jolien Vermeylen,113106,Vermeylen,BEL,1994,00:59:16,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",24,2024-07-31,655048,Elite Women,08:00:00,1165827,00:36:23,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,6,00:22:42,1500,2,00:00:54,00:00:29,01:59:44,22.2,,forbidden
21.1,30,Brazil,Vittoria,Vittoria Lopes,81882,Lopes,BRA,1996,00:59:42,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",25,2024-07-31,655048,Elite Women,08:00:00,1165828,00:36:41,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,24,00:22:18,1500,2,00:00:57,00:00:32,02:00:10,22.2,,forbidden
21.1,32,Hungary,Zsanett,Zsanett Kuttor-Bragmayer,16368,Kuttor-Bragmayer,HUN,1994,00:58:15,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",26,2024-07-31,655048,Elite Women,08:00:00,1165829,00:38:12,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,48,00:22:34,1500,2,00:00:56,00:00:27,02:00:24,22.2,,forbidden
21.1,31,France,Leonie,Leonie Periault,41158,Periault,FRA,1994,01:00:35,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",27,2024-07-31,655048,Elite Women,08:00:00,1165830,00:34:31,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,35,00:24:06,1500,2,00:00:57,00:00:31,02:00:40,22.2,,forbidden
21.1,24,China,Xinyu,Xinyu Lin,131701,Lin,CHN,2002,00:58:18,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",28,2024-07-31,655048,Elite Women,08:00:00,1165831,00:37:27,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,46,00:23:38,1500,2,00:00:55,00:00:32,02:00:50,22.2,,forbidden
21.1,34,Czech Republic,Petra,Petra Kurikova,26478,Kurikova,CZE,1991,01:00:40,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",29,2024-07-31,655048,Elite Women,08:00:00,1165832,00:34:53,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,19,00:24:02,1500,2,00:00:57,00:00:30,02:01:02,22.2,,forbidden
21.1,32,Mexico,Lizeth,Lizeth Rueda Santos,73426,Rueda Santos,MEX,1994,00:57:58,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",30,2024-07-31,655048,Elite Women,08:00:00,1165833,00:37:52,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,16,00:23:55,1500,2,00:00:55,00:00:38,02:01:18,22.2,,forbidden
21.1,30,New Zealand,Nicole,Nicole Van Der Kaay,64750,Van Der Kaay,NZL,1996,01:00:29,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",31,2024-07-31,655048,Elite Women,08:00:00,1165834,00:35:24,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,53,00:24:13,1500,2,00:00:57,00:00:30,02:01:33,22.2,,forbidden
21.1,32,Austria,Julia,Julia Hauser,41079,Hauser,AUT,1994,01:00:39,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",32,2024-07-31,655048,Elite Women,08:00:00,1165835,00:34:55,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,2,00:24:41,1500,2,00:00:57,00:00:32,02:01:44,22.2,,forbidden
21.1,33,Spain,Miriam,Miriam Casillas García,30383,Casillas García,ESP,1992,00:59:14,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",33,2024-07-31,655048,Elite Women,08:00:00,1165836,00:35:04,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,42,00:26:03,1500,2,00:00:58,00:00:27,02:01:46,22.2,,forbidden
21.1,39,Ecuador,Elizabeth,Elizabeth Bravo,7525,Bravo,ECU,1987,01:00:38,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",34,2024-07-31,655048,Elite Women,08:00:00,1165837,00:35:38,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,1,00:24:06,1500,2,00:00:57,00:00:30,02:01:49,22.2,,forbidden
21.1,30,Canada,Emy,Emy Legault,69055,Legault,CAN,1996,01:00:40,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",35,2024-07-31,655048,Elite Women,08:00:00,1165838,00:35:42,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,21,00:24:04,1500,2,00:00:56,00:00:32,02:01:54,22.2,,forbidden
21.1,27,Denmark,Alberte,Alberte Kjær Pedersen,82017,Kjær Pedersen,DEN,1998,01:00:41,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",36,2024-07-31,655048,Elite Women,08:00:00,1165839,00:35:19,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,51,00:24:40,1500,2,00:00:55,00:00:27,02:02:02,22.2,,forbidden
21.1,28,Colombia,Maria Carolina,Maria Carolina Velasquez Soto,83323,Velasquez Soto,COL,1997,01:00:41,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",37,2024-07-31,655048,Elite Women,08:00:00,1165840,00:35:26,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,4,00:24:38,1500,2,00:00:56,00:00:32,02:02:13,22.2,,forbidden
21.1,37,Belgium,Claire,Claire Michel,72769,Michel,BEL,1988,00:59:16,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",38,2024-07-31,655048,Elite Women,08:00:00,1165841,00:35:37,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,5,00:26:05,1500,2,00:00:56,00:00:28,02:02:22,22.2,,forbidden
21.1,31,Italy,Verena,Verena Steinhauser,58449,Steinhauser,ITA,1994,01:00:28,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",39,2024-07-31,655048,Elite Women,08:00:00,1165842,00:35:51,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,56,00:24:51,1500,2,00:00:56,00:00:29,02:02:35,22.2,,forbidden
21.1,34,Japan,Yuko,Yuko Takahashi,17285,Takahashi,JPN,1991,01:00:35,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",40,2024-07-31,655048,Elite Women,08:00:00,1165843,00:36:33,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,39,00:24:11,1500,2,00:00:54,00:00:29,02:02:42,22.2,,forbidden
21.1,27,Bermuda,Erica,Erica Hawley,80082,Hawley,BER,1998,01:00:37,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",41,2024-07-31,655048,Elite Women,08:00:00,1165844,00:36:44,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,45,00:24:05,1500,2,00:00:58,00:00:31,02:02:55,22.2,,forbidden
21.1,33,Australia,Natalie,Natalie Van Coevorden,45907,Van Coevorden,AUS,1992,01:00:26,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",42,2024-07-31,655048,Elite Women,08:00:00,1165845,00:36:52,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,15,00:24:18,1500,2,00:00:56,00:00:29,02:03:01,22.2,,forbidden
21.1,24,Switzerland,Cathia,Cathia Schär,115148,Schär,SUI,2001,00:59:02,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",43,2024-07-31,655048,Elite Women,08:00:00,1165846,00:36:45,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,8,00:26:14,1500,2,00:00:59,00:00:28,02:03:28,22.2,,forbidden
21.1,28,New Zealand,Ainsley,Ainsley Thorpe,92305,Thorpe,NZL,1998,01:01:22,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",44,2024-07-31,655048,Elite Women,08:00:00,1165847,00:37:05,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,52,00:23:59,1500,2,00:00:55,00:00:27,02:03:48,22.2,,forbidden
21.1,30,Portugal,Melanie,Melanie Santos,47942,Santos,POR,1995,01:01:00,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",45,2024-07-31,655048,Elite Women,08:00:00,1165848,00:37:03,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,40,00:24:20,1500,2,00:00:57,00:00:28,02:03:48,22.2,,forbidden
21.1,36,South Africa,Vicky,Vicky Van Der Merwe,7803,Van Der Merwe,RSA,1989,01:02:07,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",46,2024-07-31,655048,Elite Women,08:00:00,1165849,00:35:33,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,29,00:26:09,1500,2,00:00:57,00:00:30,02:05:16,22.2,,forbidden
