dataset,championship_year,event_id,event_title,event_slug,event_country,program_id,program_name,program_date,gender,athlete_id,athlete_full_name,athlete_first,athlete_last,athlete_noc,athlete_country_name,athlete_yob,athlete_age,position,total_time,start_num,result_id,source_url,source_api_url,swim,t1,bike,t2,run
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,104034,Hayden Wilde,Hayden,Wilde,NZL,New Zealand,1997,28,1,01:42:22,3,1182813,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:23,00:01:06,00:52:04,00:00:20,00:29:29
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,63162,Léo Bergere,Léo,Bergere,FRA,France,1996,29,2,01:43:24,2,1182814,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:20,00:01:07,00:52:07,00:00:20,00:30:31
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,96742,Alex Yee,Alex,Yee,GBR,Great Britain,1998,28,3,01:43:50,1,1182815,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:31,00:01:03,00:53:39,00:00:22,00:29:17
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,49390,Dorian Coninx,Dorian,Coninx,FRA,France,1994,32,4,01:44:03,47,1182816,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:18,00:01:09,00:53:47,00:00:20,00:29:31
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,30249,Pierre Le Corre,Pierre,Le Corre,FRA,France,1990,36,5,01:44:04,6,1182817,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:24,00:01:07,00:53:47,00:00:20,00:29:29
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,94446,Csongor Lehmann,Csongor,Lehmann,HUN,Hungary,1999,27,6,01:44:08,7,1182818,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:21,00:01:11,00:53:43,00:00:20,00:29:35
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,54985,Tayler Reid,Tayler,Reid,NZL,New Zealand,1996,29,7,01:44:12,20,1182819,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:18,00:01:07,00:52:11,00:00:22,00:31:17
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,11143,Vincent Luis,Vincent,Luis,FRA,France,1989,36,8,01:44:22,10,1182820,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:19,00:01:06,00:52:10,00:00:21,00:31:28
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,49411,Tyler Mislawchuk,Tyler,Mislawchuk,CAN,Canada,1994,31,9,01:44:26,25,1182821,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:22,00:01:11,00:53:42,00:00:23,00:29:49
wtcs_final,2024,183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,Spain,635630,Elite Men,2024-10-20,male,167968,Hugo Milner,Hugo,Milner,GBR,Great Britain,1998,27,10,01:44:31,21,1182822,https://events.triathlon.org/2024-world-triathlon-championship-finals-torremolinos/results?program=635630,https://events.triathlon.org/api/results/183767/635630,00:19:32,00:01:12,00:54:40,00:00:21,00:28:47
