dataset,championship_year,event_id,event_title,event_slug,event_country,program_id,program_name,program_date,gender,athlete_id,athlete_full_name,athlete_first,athlete_last,athlete_noc,athlete_country_name,athlete_yob,athlete_age,position,total_time,start_num,result_id,source_url,source_api_url,swim,t1,bike,t2,run
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,68698,Katie Zaferes,Katie,Zaferes,USA,United States,1989,36,1,02:02:45,1,820021,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:15,00:00:39,01:06:39,00:00:29,00:35:45
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,78775,Jessica Learmonth,Jessica,Learmonth,GBR,Great Britain,1988,38,2,02:02:49,2,820022,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:18:58,00:00:39,01:06:55,00:00:28,00:35:51
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,49545,Georgia Taylor-Brown,Georgia,Taylor-Brown,GBR,Great Britain,1994,32,3,02:03:03,3,820023,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:06,00:00:40,01:06:47,00:00:30,00:36:02
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,22170,Rachel Klamer,Rachel,Klamer,NED,Netherlands,1990,35,4,02:03:44,7,820024,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:47,00:00:42,01:06:54,00:00:25,00:35:58
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,7776,Flora Duffy,Flora,Duffy,BER,Bermuda,1987,38,5,02:04:26,58,820025,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:15,00:00:42,01:06:35,00:00:26,00:37:29
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,70413,Laura Lindemann,Laura,Lindemann,GER,Germany,1996,29,6,02:04:41,20,820026,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:24,00:00:41,01:07:19,00:00:26,00:36:52
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,7773,Annamaria Mazzetti,Annamaria,Mazzetti,ITA,Italy,1988,37,7,02:04:51,18,820027,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:55,00:00:38,01:06:51,00:00:27,00:37:01
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,39683,Alice Betto,Alice,Betto,ITA,Italy,1987,38,8,02:05:11,22,820028,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:29,00:00:40,01:07:15,00:00:29,00:37:20
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,81334,Taylor Spivey,Taylor,Spivey,USA,United States,1991,35,9,02:05:40,4,820029,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:01,00:00:42,01:07:41,00:00:31,00:37:47
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,5372,Nicola Spirig,Nicola,Spirig,SUI,Switzerland,1982,44,10,02:05:53,34,820030,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:49,00:00:46,01:06:47,00:00:27,00:38:04
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,58449,Verena Steinhauser,Verena,Steinhauser,ITA,Italy,1994,31,11,02:06:03,23,820031,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:33,00:00:43,01:07:07,00:00:28,00:38:13
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,81882,Vittoria Lopes,Vittoria,Lopes,BRA,Brazil,1996,30,12,02:06:18,31,820032,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:18:59,00:00:42,01:06:51,00:00:31,00:39:16
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,50760,Sophie Evans,Sophie,Evans,GBR,Great Britain,1995,31,13,02:06:49,29,820033,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:04,00:00:41,01:07:40,00:00:30,00:38:55
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,80643,Taylor Knibb,Taylor,Knibb,USA,United States,1998,28,14,02:07:10,16,820034,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:20:03,00:00:42,01:08:31,00:00:32,00:37:23
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,11879,Lisa Perterer,Lisa,Perterer,AUT,Austria,1991,34,15,02:07:40,15,820035,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:20:17,00:00:40,01:10:02,00:00:32,00:36:10
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,83096,Summer Rappaport,Summer,Rappaport,USA,United States,1991,34,16,02:07:44,6,820036,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:06,00:00:42,01:11:14,00:00:30,00:36:14
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,63163,Cassandre Beaugrand,Cassandre,Beaugrand,FRA,France,1997,28,17,02:07:50,9,820037,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:49,00:00:55,01:10:15,00:00:27,00:36:26
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,7795,Vicky Holland,Vicky,Holland,GBR,Great Britain,1986,40,18,02:08:02,12,820038,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:17,00:00:42,01:11:01,00:00:27,00:36:36
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,41158,Leonie Periault,Leonie,Periault,FRA,France,1994,31,19,02:08:10,24,820039,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:20:14,00:00:40,01:10:05,00:00:28,00:36:44
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,47782,Luisa Baptista,Luisa,Baptista,BRA,Brazil,1994,31,20,02:08:29,40,820040,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:19:40,00:00:40,01:10:41,00:00:28,00:37:01
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,58591,Tamara Gorman,Tamara,Gorman,USA,United States,1996,30,21,02:09:02,28,820041,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:00:00,00:00:00,00:00:00,00:00:30,00:37:32
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,15744,Ashleigh Gentle,Ashleigh,Gentle,AUS,Australia,1991,35,22,02:09:05,17,820042,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:20:26,00:00:39,01:09:54,00:00:31,00:37:36
wtcs_final,2019,127488,2019 ITU World Triathlon Grand Final Lausanne,2019-itu-world-triathlon-grand-final-lausanne,Switzerland,337812,Elite Women,2019-08-31,female,30383,Miriam Casillas García,Miriam,Casillas García,ESP,Spain,1992,33,23,02:09:05,33,820043,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337812,https://events.triathlon.org/api/results/127488/337812,00:20:15,00:00:39,01:10:05,00:00:27,00:37:41
