air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
29.5,32,France,Dorian,Dorian Coninx,49390,Coninx,FRA,1994,00:52:56,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",1,2023-09-23,582708,Elite Men,17:20:00,1136793,00:29:46,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,5,00:18:03,1500,2,00:01:15,00:00:25,01:42:22,21.3,,forbidden
29.5,26,Germany,Tim,Tim Hellwig,106885,Hellwig,GER,1999,00:52:53,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",2,2023-09-23,582708,Elite Men,17:20:00,1136794,00:29:44,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,10,00:18:09,1500,2,00:01:13,00:00:25,01:42:22,21.3,,forbidden
29.5,36,France,Pierre,Pierre Le Corre,30249,Le Corre,FRA,1990,00:53:00,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",3,2023-09-23,582708,Elite Men,17:20:00,1136795,00:29:45,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,8,00:18:00,1500,2,00:01:15,00:00:24,01:42:22,21.3,,forbidden
29.5,29,France,Léo,Léo Bergere,63162,Bergere,FRA,1996,00:52:55,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",4,2023-09-23,582708,Elite Men,17:20:00,1136796,00:29:55,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,4,00:18:05,1500,2,00:01:13,00:00:22,01:42:28,21.3,,forbidden
29.5,29,Germany,Lasse,Lasse Lührs,70410,Lührs,GER,1996,00:52:41,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",5,2023-09-23,582708,Elite Men,17:20:00,1136797,00:30:09,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,26,00:18:16,1500,2,00:01:16,00:00:23,01:42:44,21.3,,forbidden
29.5,25,Brazil,Miguel,Miguel Hidalgo,105480,Hidalgo,BRA,2000,00:52:41,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",6,2023-09-23,582708,Elite Men,17:20:00,1136798,00:30:13,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,11,00:18:17,1500,2,00:01:15,00:00:23,01:42:48,21.3,,forbidden
29.5,27,Hungary,Csongor,Csongor Lehmann,94446,Lehmann,HUN,1999,00:52:57,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",7,2023-09-23,582708,Elite Men,17:20:00,1136799,00:30:19,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,9,00:18:04,1500,2,00:01:14,00:00:23,01:42:54,21.3,,forbidden
29.5,28,Australia,Matthew,Matthew Hauser,80795,Hauser,AUS,1998,00:53:00,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",8,2023-09-23,582708,Elite Men,17:20:00,1136800,00:30:31,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,6,00:17:57,1500,2,00:01:15,00:00:21,01:43:04,21.3,,forbidden
29.5,31,Canada,Tyler,Tyler Mislawchuk,49411,Mislawchuk,CAN,1994,00:52:48,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",9,2023-09-23,582708,Elite Men,17:20:00,1136801,00:30:32,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,19,00:18:15,1500,2,00:01:13,00:00:22,01:43:09,21.3,,forbidden
29.5,28,New Zealand,Hayden,Hayden Wilde,104034,Wilde,NZL,1997,00:53:02,39800,8,2023,wtcs_final,standard,Pontevedra,Spain,2023-09-22,2023-09-24,170132,2023-world-triathlon-championship-finals-pontevedra,2023 World Triathlon Championship Finals Pontevedra,male,"World Triathlon Championship Finals, standard distance.",10,2023-09-23,582708,Elite Men,17:20:00,1136802,00:29:57,10000,4,https://events.triathlon.org/api/results/170132/582708,https://events.triathlon.org/2023-world-triathlon-championship-finals-pontevedra/results?program=582708,2,00:18:47,1500,2,00:01:09,00:00:23,01:43:17,21.3,,forbidden
