air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,35,Spain,Fernando,Fernando Alarza,29442,Alarza,ESP,1991,00:56:09,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",12,2021-07-26,501764,Elite Men,06:30:00,1035235,00:30:42,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,20,00:18:20,00:00:38,00:00:33,01:46:22,,,
,36,France,Vincent,Vincent Luis,11143,Luis,FRA,1989,00:56:45,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",13,2021-07-26,501764,Elite Men,06:30:00,1035236,00:30:51,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,7,00:17:39,00:00:39,00:00:30,01:46:24,,,
,32,Japan,Kenji,Kenji Nener,39264,Nener,JPN,1993,00:56:31,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",14,2021-07-26,501764,Elite Men,06:30:00,1035237,00:30:53,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,30,00:17:51,00:00:41,00:00:28,01:46:24,,,
,31,Canada,Tyler,Tyler Mislawchuk,49411,Mislawchuk,CAN,1994,00:56:35,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",15,2021-07-26,501764,Elite Men,06:30:00,1035238,00:30:55,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,15,00:17:50,00:00:39,00:00:29,01:46:28,,,
,31,Australia,Jacob,Jacob Birtwhistle,45915,Birtwhistle,AUS,1995,00:56:11,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",16,2021-07-26,501764,Elite Men,06:30:00,1035239,00:31:01,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,10,00:18:14,00:00:38,00:00:28,01:46:32,,,
,32,France,Dorian,Dorian Coninx,49390,Coninx,FRA,1994,00:56:18,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",17,2021-07-26,501764,Elite Men,06:30:00,1035240,00:31:15,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,6,00:18:04,00:00:41,00:00:30,01:46:48,,,
,29,New Zealand,Tayler,Tayler Reid,54985,Reid,NZL,1996,00:56:40,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",18,2021-07-26,501764,Elite Men,06:30:00,1035241,00:31:25,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,1,00:17:45,00:00:37,00:00:27,01:46:54,,,
,32,Japan,Makoto,Makoto Odakura,63982,Odakura,JPN,1993,00:56:05,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",19,2021-07-26,501764,Elite Men,06:30:00,1035242,00:31:26,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,31,00:18:21,00:00:41,00:00:30,01:47:03,,,
,31,Israel,Shachar,Shachar Sagiv,41870,Sagiv,ISR,1994,00:56:14,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",20,2021-07-26,501764,Elite Men,06:30:00,1035243,00:31:37,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,38,00:18:12,00:00:39,00:00:28,01:47:10,,,
,29,France,Léo,Léo Bergere,63162,Bergere,FRA,1996,00:56:22,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",21,2021-07-26,501764,Elite Men,06:30:00,1035244,00:31:47,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,5,00:18:00,00:00:41,00:00:30,01:47:20,,,
