air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,39,South Africa,Mari,Mari Rabie,6144,Rabie,RSA,1986,01:01:32,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",11,2016-08-20,305291,Elite Women,11:00:00,544646,00:37:10,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,2,00:19:04,00:00:52,00:00:35,01:59:13,,,
,41,Australia,Erin,Erin Densham,5454,Densham,AUS,1985,01:01:26,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",12,2016-08-20,305291,Elite Women,11:00:00,544647,00:37:18,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,50,00:19:10,00:00:54,00:00:39,01:59:27,,,
,43,New Zealand,Nicky,Nicky Samuels,6069,Samuels,NZL,1983,01:01:27,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",13,2016-08-20,305291,Elite Women,11:00:00,544648,00:37:18,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,39,00:19:06,00:00:56,00:00:43,01:59:30,,,
,33,Switzerland,Jolanda,Jolanda Annen,45790,Annen,SUI,1992,01:01:20,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",14,2016-08-20,305291,Elite Women,11:00:00,544649,00:37:32,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,17,00:19:19,00:00:51,00:00:40,01:59:42,,,
,34,Japan,Yuka,Yuka Sato,18592,Sato,JPN,1992,01:01:24,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",15,2016-08-20,305291,Elite Women,11:00:00,544650,00:37:53,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,55,00:19:08,00:00:58,00:00:38,02:00:01,,,
,41,Sweden,Lisa,Lisa Norden,6120,Norden,SWE,1984,01:01:18,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",16,2016-08-20,305291,Elite Women,11:00:00,544651,00:37:55,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,19,00:19:17,00:00:53,00:00:40,02:00:03,,,
,39,Italy,Charlotte,Charlotte Bonin,7771,Bonin,ITA,1987,01:01:29,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",17,2016-08-20,305291,Elite Women,11:00:00,544652,00:38:34,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,36,00:19:07,00:00:55,00:00:43,02:00:48,,,
,36,United States,Katie,Katie Zaferes,68698,Zaferes,USA,1989,01:01:26,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",18,2016-08-20,305291,Elite Women,11:00:00,544653,00:38:44,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,22,00:19:03,00:01:01,00:00:41,02:00:55,,,
,42,Great Britain,Helen,Helen Jenkins,5573,Jenkins,GBR,1984,01:04:37,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",19,2016-08-20,305291,Elite Women,11:00:00,544654,00:35:45,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,15,00:19:11,00:00:56,00:00:38,02:01:07,,,
,35,Russia,Alexandra,Alexandra Razarenova,9852,Razarenova,RUS,1990,01:03:55,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",20,2016-08-20,305291,Elite Women,11:00:00,544655,00:35:44,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,7,00:19:56,00:00:54,00:00:40,02:01:09,,,
,43,Ireland,Aileen,Aileen Reid,21978,Reid,IRL,1982,01:04:31,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",21,2016-08-20,305291,Elite Women,11:00:00,544656,00:35:48,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,23,00:19:19,00:00:54,00:00:42,02:01:14,,,
,38,Poland,Agnieszka,Agnieszka Jerzyk,11133,Jerzyk,POL,1988,01:03:59,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,female,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",22,2016-08-20,305291,Elite Women,11:00:00,544657,00:36:04,https://events.triathlon.org/api/results/100636/305291,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305291,1,00:19:50,00:00:54,00:00:40,02:01:27,,,
