air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
34,34,South Africa,Henri,Henri Schoeman,30433,Schoeman,RSA,1991,00:56:33,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,1,2016-09-18,281501,Elite Men,16:30:00,554399,00:32:06,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,11,00:16:55,00:00:53,00:00:25,01:46:50,29,,False
34,36,Great Britain,Jonathan,Jonathan Brownlee,11378,Brownlee,GBR,1990,00:56:36,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,2,2016-09-18,281501,Elite Men,16:30:00,554400,00:32:25,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,2,00:16:53,00:00:52,00:00:24,01:47:08,29,,False
34,38,Great Britain,Alistair,Alistair Brownlee,7788,Brownlee,GBR,1988,00:56:33,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,3,2016-09-18,281501,Elite Men,16:30:00,554401,00:32:23,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,18,00:16:52,00:00:55,00:00:27,01:47:08,29,,False
34,37,South Africa,Richard,Richard Murray,16392,Murray,RSA,1989,00:57:41,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,4,2016-09-18,281501,Elite Men,16:30:00,554402,00:31:17,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,9,00:17:22,00:00:53,00:00:25,01:47:35,29,,False
34,36,Spain,Mario,Mario Mola,11402,Mola,ESP,1990,00:57:47,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,5,2016-09-18,281501,Elite Men,16:30:00,554403,00:31:21,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,1,00:17:14,00:00:52,00:00:24,01:47:36,29,,False
34,35,Australia,Ryan,Ryan Bailie,28500,Bailie,AUS,1990,00:57:42,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,6,2016-09-18,281501,Elite Men,16:30:00,554404,00:31:22,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,7,00:17:20,00:00:54,00:00:24,01:47:40,29,,False
34,39,Mexico,Crisanto,Crisanto Grajales Valencia,7503,Grajales Valencia,MEX,1987,00:57:55,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,7,2016-09-18,281501,Elite Men,16:30:00,554405,00:31:31,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,8,00:17:05,00:00:52,00:00:25,01:47:46,29,,False
34,33,Belgium,Jelle,Jelle Geens,39974,Geens,BEL,1993,00:57:37,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,8,2016-09-18,281501,Elite Men,16:30:00,554406,00:31:39,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,36,00:17:21,00:00:53,00:00:23,01:47:52,29,,False
34,35,Spain,Fernando,Fernando Alarza,29442,Alarza,ESP,1991,00:57:50,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,9,2016-09-18,281501,Elite Men,16:30:00,554407,00:31:28,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,3,00:17:16,00:00:54,00:00:27,01:47:53,29,,False
34,43,Great Britain,Adam,Adam Bowden,32470,Bowden,GBR,1982,00:57:36,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,10,2016-09-18,281501,Elite Men,16:30:00,554408,00:31:33,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,6,00:17:28,00:00:55,00:00:26,01:47:55,29,,False
34,38,Italy,Alessandro,Alessandro Fabian,11060,Fabian,ITA,1988,00:56:31,2016,wtcs_final,,Cozumel,Mexico,2016-09-11,2016-09-18,97645,2016-itu-world-triathlon-grand-final-cozumel,2016 ITU World Triathlon Grand Final Cozumel,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,11,2016-09-18,281501,Elite Men,16:30:00,554409,00:33:20,https://events.triathlon.org/api/results/97645/281501,https://events.triathlon.org/2016-itu-world-triathlon-grand-final-cozumel/results?program=281501,31,00:16:58,00:00:51,00:00:27,01:48:04,29,,False
