air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,32,United States,Morgan,Morgan Pearson,123392,Pearson,USA,1993,01:00:44,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,11,2019-08-31,337811,Elite Men,,819937,00:32:52,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,28,00:18:18,00:00:37,00:00:28,01:52:56,,,
,29,France,Léo,Léo Bergere,63162,Bergere,FRA,1996,01:00:44,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,12,2019-08-31,337811,Elite Men,,819938,00:33:12,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,8,00:18:12,00:00:41,00:00:24,01:53:11,,,
,28,Great Britain,Alex,Alex Yee,96742,Yee,GBR,1998,01:02:10,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,13,2019-08-31,337811,Elite Men,,819939,00:31:12,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,16,00:19:03,00:00:36,00:00:27,01:53:26,,,
,37,Switzerland,Andrea,Andrea Salvisberg,11315,Salvisberg,SUI,1989,01:00:53,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,14,2019-08-31,337811,Elite Men,,819940,00:33:26,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,49,00:18:08,00:00:38,00:00:31,01:53:34,,,
,31,Switzerland,Adrien,Adrien Briffod,56550,Briffod,SUI,1994,01:00:31,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,15,2019-08-31,337811,Elite Men,,819941,00:33:41,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,41,00:18:31,00:00:37,00:00:22,01:53:40,,,
,36,Australia,Aaron,Aaron Royle,10141,Royle,AUS,1990,01:00:50,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,16,2019-08-31,337811,Elite Men,,819942,00:33:35,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,20,00:18:10,00:00:40,00:00:28,01:53:41,,,
,35,Australia,Ryan,Ryan Fisher,28201,Fisher,AUS,1991,01:00:32,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,17,2019-08-31,337811,Elite Men,,819943,00:33:52,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,36,00:18:28,00:00:38,00:00:27,01:53:55,,,
,35,Australia,Ryan,Ryan Bailie,28500,Bailie,AUS,1990,01:00:44,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,18,2019-08-31,337811,Elite Men,,819944,00:33:54,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,55,00:18:14,00:00:41,00:00:27,01:53:59,,,
,38,Portugal,Joao,Joao Pereira,10536,Pereira,POR,1987,01:02:50,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,19,2019-08-31,337811,Elite Men,,819945,00:31:54,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,32,00:18:22,00:00:37,00:00:27,01:54:08,,,
,32,Germany,Jonas,Jonas Schomburg,67535,Schomburg,GER,1994,01:02:56,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,20,2019-08-31,337811,Elite Men,,819946,00:32:25,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,17,00:18:13,00:00:39,00:00:24,01:54:35,,,
,31,Spain,Antonio,Antonio Serrat Seoane,63428,Serrat Seoane,ESP,1995,01:00:49,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,21,2019-08-31,337811,Elite Men,,819947,00:34:42,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,22,00:18:10,00:00:41,00:00:27,01:54:47,,,
