dataset,championship_year,event_id,event_title,event_slug,event_country,program_id,program_name,program_date,gender,athlete_id,athlete_full_name,athlete_first,athlete_last,athlete_noc,athlete_country_name,athlete_yob,athlete_age,position,total_time,start_num,result_id,source_url,source_api_url,swim,t1,bike,t2,run
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,7776,Flora Duffy,Flora,Duffy,BER,Bermuda,1987,38,1,01:58:39,1,651984,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:14,00:01:44,01:03:40,00:00:28,00:33:36
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,68698,Katie Zaferes,Katie,Zaferes,USA,United States,1989,36,2,01:59:34,4,651985,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:21,00:01:38,01:03:41,00:00:23,00:34:34
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,78775,Jessica Learmonth,Jessica,Learmonth,GBR,Great Britain,1988,38,3,02:00:57,8,651986,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:13,00:01:43,01:03:43,00:00:30,00:35:50
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,89532,Kirsten Kasper,Kirsten,Kasper,USA,United States,1991,34,4,02:01:29,5,651987,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:38,00:01:46,01:04:44,00:00:24,00:34:58
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,29235,Joanna Brown,Joanna,Brown,CAN,Canada,1992,33,5,02:01:47,7,651988,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:43,00:01:43,01:04:42,00:00:29,00:35:12
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,15744,Ashleigh Gentle,Ashleigh,Gentle,AUS,Australia,1991,35,6,02:02:00,2,651989,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:20:04,00:01:47,01:06:03,00:00:14,00:33:54
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,22170,Rachel Klamer,Rachel,Klamer,NED,Netherlands,1990,35,7,02:02:09,6,651990,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:39,00:01:49,01:04:40,00:00:28,00:35:34
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,11385,Jodie Stimpson,Jodie,Stimpson,GBR,Great Britain,1989,37,8,02:02:20,27,651991,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:41,00:01:47,01:04:40,00:00:23,00:35:52
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,83096,Summer Rappaport,Summer,Rappaport,USA,United States,1991,34,9,02:02:30,16,651992,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:19:23,00:01:51,01:04:59,00:00:25,00:35:55
wtcs_final,2017,107164,2017 ITU World Triathlon Grand Final Rotterdam,2017-itu-world-triathlon-grand-final-rotterdam,Netherlands,309472,Elite Women,2017-09-16,female,45790,Jolanda Annen,Jolanda,Annen,SUI,Switzerland,1992,33,10,02:02:43,10,651993,https://events.triathlon.org/2017-itu-world-triathlon-grand-final-rotterdam/results?program=309472,https://events.triathlon.org/api/results/107164/309472,00:20:04,00:01:46,01:06:03,00:00:26,00:34:27
