air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,33,Australia,Natalie,Natalie Van Coevorden,45907,Van Coevorden,AUS,1992,01:01:32,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,12,2021-08-21,353165,Elite Women,10:50:00,1017336,00:36:28,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,16,00:18:46,00:01:08,00:00:25,01:58:17,,,
,38,Italy,Alice,Alice Betto,39683,Betto,ITA,1987,01:02:49,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,13,2021-08-21,353165,Elite Women,10:50:00,1017337,00:35:16,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,11,00:19:01,00:01:10,00:00:26,01:58:39,,,
,29,Great Britain,Sian,Sian Rainsley,71161,Rainsley,GBR,1997,01:02:35,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,14,2021-08-21,353165,Elite Women,10:50:00,1017338,00:35:19,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,17,00:19:13,00:01:10,00:00:25,01:58:41,,,
,30,Portugal,Melanie,Melanie Santos,47942,Santos,POR,1995,01:02:31,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,15,2021-08-21,353165,Elite Women,10:50:00,1017339,00:35:26,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,30,00:19:07,00:01:21,00:00:25,01:58:48,,,
,34,United States,Summer,Summer Rappaport,83096,Rappaport,USA,1991,01:03:04,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,16,2021-08-21,353165,Elite Women,10:50:00,1017340,00:35:37,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,10,00:18:49,00:01:09,00:00:27,01:59:04,,,
,33,Germany,Marlene,Marlene Gomez-Göggel,31760,Gomez-Göggel,GER,1993,01:02:31,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,17,2021-08-21,353165,Elite Women,10:50:00,1017341,00:36:07,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,25,00:19:11,00:01:16,00:00:25,01:59:28,,,
,34,Great Britain,Beth,Beth Potter,117212,Potter,GBR,1991,01:03:48,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,18,2021-08-21,353165,Elite Women,10:50:00,1017342,00:34:48,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,19,00:19:26,00:01:06,00:00:26,01:59:32,,,
,33,Australia,Kelly-Ann,Kelly-Ann Perkins,81002,Perkins,AUS,1992,01:03:48,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,19,2021-08-21,353165,Elite Women,10:50:00,1017343,00:35:05,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,38,00:19:16,00:01:18,00:00:25,01:59:50,,,
,33,Spain,Miriam,Miriam Casillas García,30383,Casillas García,ESP,1992,01:02:40,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,20,2021-08-21,353165,Elite Women,10:50:00,1017344,00:36:36,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,15,00:19:14,00:01:03,00:00:24,01:59:55,,,
,31,Italy,Verena,Verena Steinhauser,58449,Steinhauser,ITA,1994,01:02:42,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,21,2021-08-21,353165,Elite Women,10:50:00,1017345,00:36:37,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,12,00:19:08,00:01:09,00:00:29,02:00:03,,,
