air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
,32,United States,Morgan,Morgan Pearson,123392,Pearson,USA,1993,00:54:58,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",11,2025-10-19,674811,Elite Men,17:00:00,1218584,00:29:56,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,25,00:18:19,1500,2,00:00:47,00:00:26,01:44:23,,,
,25,Great Britain,Connor,Connor Bentley,125294,Bentley,GBR,2001,00:54:59,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",12,2025-10-19,674811,Elite Men,17:00:00,1218586,00:30:10,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,23,00:18:20,1500,2,00:00:43,00:00:21,01:44:32,,,
,28,Canada,Charles,Charles Paquet,79706,Paquet,CAN,1997,00:54:52,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",13,2025-10-19,674811,Elite Men,17:00:00,1218585,00:30:06,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,9,00:18:23,1500,2,00:00:47,00:00:27,01:44:32,,,
,29,Great Britain,Harry,Harry Leleu,103124,Leleu,GBR,1996,00:55:00,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",14,2025-10-19,674811,Elite Men,17:00:00,1218587,00:30:21,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,30,00:18:15,1500,2,00:00:48,00:00:22,01:44:44,,,
,25,Portugal,Ricardo,Ricardo Batista,98121,Batista,POR,2000,00:54:57,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",15,2025-10-19,674811,Elite Men,17:00:00,1218588,00:30:22,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,10,00:18:19,1500,2,00:00:46,00:00:23,01:44:45,,,
,29,Australia,Luke,Luke Willian,55495,Willian,AUS,1996,00:54:54,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",16,2025-10-19,674811,Elite Men,17:00:00,1218589,00:30:19,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,6,00:18:19,1500,2,00:00:52,00:00:25,01:44:47,,,
,32,France,Dorian,Dorian Coninx,49390,Coninx,FRA,1994,00:54:30,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",17,2025-10-19,674811,Elite Men,17:00:00,1218590,00:31:22,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,7,00:17:54,1500,2,00:00:43,00:00:22,01:44:49,,,
,26,Norway,Vetle Bergsvik,Vetle Bergsvik Thorn,96040,Thorn,NOR,1999,00:54:59,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",18,2025-10-19,674811,Elite Men,17:00:00,1218591,00:30:32,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,48,00:18:18,1500,2,00:00:45,00:00:23,01:44:55,,,
,29,Great Britain,Jack,Jack Willis,74423,Willis,GBR,1997,00:54:54,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",19,2025-10-19,674811,Elite Men,17:00:00,1218592,00:30:41,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,26,00:18:24,1500,2,00:00:46,00:00:22,01:45:04,,,
,27,Chile,Diego,Diego Moya,56027,Moya,CHI,1998,00:55:00,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",20,2025-10-19,674811,Elite Men,17:00:00,1218593,00:30:42,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,15,00:18:14,1500,2,00:00:49,00:00:24,01:45:07,,,
,23,Netherlands,Mitch,Mitch Kolkman,135049,Kolkman,NED,2002,00:54:58,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",21,2025-10-19,674811,Elite Men,17:00:00,1218594,00:30:46,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,35,00:18:17,1500,2,00:00:48,00:00:24,01:45:11,,,
,31,Germany,Valentin,Valentin Wernz,61357,Wernz,GER,1995,00:54:54,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",22,2025-10-19,674811,Elite Men,17:00:00,1218595,00:31:01,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,29,00:18:24,1500,2,00:00:46,00:00:24,01:45:27,,,
,25,New Zealand,Saxon,Saxon Morgan,103634,Morgan,NZL,2000,00:55:04,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",23,2025-10-19,674811,Elite Men,17:00:00,1218596,00:31:27,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,41,00:18:15,1500,2,00:00:44,00:00:24,01:45:53,,,
,25,Germany,Chris,Chris Ziehmer,106946,Ziehmer,GER,2000,00:54:57,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",24,2025-10-19,674811,Elite Men,17:00:00,1218597,00:31:45,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,44,00:18:22,1500,2,00:00:45,00:00:23,01:46:10,,,
,23,Norway,Sebastian,Sebastian Wernersen,127536,Wernersen,NOR,2002,00:54:58,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",25,2025-10-19,674811,Elite Men,17:00:00,1218598,00:31:48,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,38,00:18:15,1500,2,00:00:49,00:00:26,01:46:14,,,
