air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,38,Great Britain,Alistair,Alistair Brownlee,7788,Brownlee,GBR,1988,00:55:04,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",1,2016-08-18,305290,Elite Men,11:00:00,544691,00:31:09,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,5,00:17:24,00:00:50,00:00:34,01:45:01,,,
,36,Great Britain,Jonathan,Jonathan Brownlee,11378,Brownlee,GBR,1990,00:55:04,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",2,2016-08-18,305290,Elite Men,11:00:00,544692,00:31:16,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,6,00:17:24,00:00:50,00:00:33,01:45:07,,,
,34,South Africa,Henri,Henri Schoeman,30433,Schoeman,RSA,1991,00:55:01,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",3,2016-08-18,305290,Elite Men,11:00:00,544693,00:31:50,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,2,00:17:25,00:00:53,00:00:34,01:45:43,,,
,37,South Africa,Richard,Richard Murray,16392,Murray,RSA,1989,00:55:35,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",4,2016-08-18,305290,Elite Men,11:00:00,544694,00:30:34,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,1,00:18:20,00:00:46,00:00:35,01:45:50,,,
,38,Portugal,Joao,Joao Pereira,10536,Pereira,POR,1987,00:55:52,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",5,2016-08-18,305290,Elite Men,11:00:00,544695,00:30:38,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,11,00:18:03,00:00:46,00:00:33,01:45:52,,,
,33,Belgium,Marten,Marten Van Riel,40311,Van Riel,BEL,1992,00:55:03,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",6,2016-08-18,305290,Elite Men,11:00:00,544696,00:32:10,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,15,00:17:27,00:00:49,00:00:34,01:46:03,,,
,36,France,Vincent,Vincent Luis,11143,Luis,FRA,1989,00:55:04,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",7,2016-08-18,305290,Elite Men,11:00:00,544697,00:32:21,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,18,00:17:26,00:00:48,00:00:33,01:46:12,,,
,36,Spain,Mario,Mario Mola,11402,Mola,ESP,1990,00:56:18,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",8,2016-08-18,305290,Elite Men,11:00:00,544698,00:31:12,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,56,00:17:37,00:00:46,00:00:33,01:46:26,,,
,36,Australia,Aaron,Aaron Royle,10141,Royle,AUS,1990,00:55:05,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",9,2016-08-18,305290,Elite Men,11:00:00,544699,00:32:47,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,9,00:17:26,00:00:48,00:00:36,01:46:42,,,
,35,Australia,Ryan,Ryan Bailie,28500,Bailie,AUS,1990,00:56:11,2016,olympic_games,,Rio de Janeiro ,Brazil,2016-08-18,2016-08-20,100636,2016-rio-de-janeiro-olympic-games,Rio de Janeiro 2016 Olympic Games,male,"Olympic individual triathlon, standard distance. Legacy program metadata has empty distance fields.",10,2016-08-18,305290,Elite Men,11:00:00,544700,00:31:53,https://events.triathlon.org/api/results/100636/305290,https://events.triathlon.org/2016-rio-de-janeiro-olympic-games/results?program=305290,7,00:17:31,00:00:49,00:00:38,01:47:02,,,
